aaron	Ааронов
accusing	изобличительный
accustom	приобщать,приобщить
accustomed	всегдашний,привыкший,привычный
ace	ас,туз
acetate	ацетат,ацетатный
acetic	уксусный
acetone	ацетон,ацетоновый
acetous	уксуснокислый,уксусный
acetylene	ацетилен
ache	наболеть,ныть
achievable	достижимый
achieve	добиваться,достигать,достигнуть,достичь
achievement	достижение,свершение
achievements	завоевание
achromatic	ахроматический
achromatism	ахроматизм
acid	кислота,кислотный,кислый
acid-proof	кислотоупорный,противокислотный
acid-resistant	кислотоупорный
acidify	подкислять
acidity	кислота,кислотность
acidly	кисло
acidophilin	ацидофилин
acidulate	подкислять
acidulous	кисловатый
acknowledge	допускать,допустить,сознавать,сознать
acknowledged	признанный
acme	апогей,вершина
acmeism	акмеизм
acorn	жёлудь
acotyledonous	бессеменодольный
acoustic	акустический,слуховой
acoustician	акустик
acoustics	акустика
acquaint	знакомить,ознакомить,ознакомлять,перезнакомить,познакомить
acquaintance	знакомец,знакомство,знакомый,ознакомление
acquaintances	знакомство
acquainted	знакомый
acquire	завести,заводить,набираться,набраться,наживать
acquired	благоприобретённый
acquisition	комплектование,обзаведение,приобретение
acquit	оправдать,оправдывать
acquittal	оправдание
acre	акр
acrid	едкий
acrimony	жёлчность
acrobat	акробат,циркач
acrobatic	акробатический
acrobatics	акробатика
acropolis	Акрополь
across	поперёк,через
acrostic	акростих
act	акт,действие,действовать,деяние,закон
acting	временный,игра,лицедейство
actinia	актиния
actinium	актиний
action	акция,действие,действо,динамика,иск
activate	активировать
activated	активированный
active	активный,действенный,действующий,деятельный,жизнедеятельный
actively	активно
activities	действие
activity	активность,дееспособность,действенность,действие,деятельность
activization	активизация
actor	актёр,артист,комедиант,лицедей,сомножитель
actress	актриса,артистка
actual	действительный,животрепещущий,фактический
actuality	актуальность,действительность
actually	вообще-то,действительно,неужели,собственно,фактически
acuity	острота
acumen	догадливость,проницательность
acupuncture	акупунктура,иглотерапия,иглоукалывание
acute	обострённый,проницательный
acute-angled	остроугольный
acuteness	заострённость,острота
ad	объявление
ad-libbing	отсебятина
adagio	адажио
adamant	непреклонный
adamsite	адамсит
adapt	адаптировать,адаптироваться,приладить,прилаживать,приноравливать
adaptability	приспособляемость
adaptation	адаптация,приспособление
adapter	адаптер
add	добавить,добавлять,доливать,долить,набавлять
added	приставной
addendum	добавление,дополнение
adder	гадюка
addicted	подсаживать
addiction	зависимость,привыкание
adding	сложение
addition	добавка,добавление,дополнение,набавка,прибавка
additional	добавочный,дополнительный,набавочный,прибавочный,придаточный
additionally	подваривать
address	адрес,адресный,адресовать,заговаривать,надпись
addressee	адресат
addresses	ухаживание
adduce	выставлять,приводить
adenoids	аденоид
adenoma	аденома
adequate	адекватный
adhere	заклеиваться,заклеиться,налипать,налипнуть,придерживаться
adherence	приверженность,присоединение
adherent	адепт,приверженец,ревнитель,ревнительница,сторонник
adhesion	присоединение,сцепление
adhesive	прилипчивый
adit	штольня
adjacent	прилегающий,смежный,соседний,соседствовать
adjective	прилагательный
adjoin	прилегать,примкнуть,примыкать,соприкасаться,соприкоснуться
adjoining	прилегающий,прилежащий,смежный
adjourn	отложить,отсрочивать,отсрочить
adjournment	отсрочка
adjudge	присудить,присуждать
adjudication	присуждение
adjudicators	жюри
adjunct	придаток
adjure	заклинать
adjust	адаптироваться,выверить,выверять,наладить,налаживать
adjustability	приспособляемость
adjustable	вращающийся
adjuster	наладчик
adjusting	пригонка,регулирование,установочный
adjustment	аккомодация,выверка,корректирование,настройка,подгонка
adjutant	адъютант
administration	администрация,администрирование,правительство,управление
administrative	административный,управленческий
administrator	администратор,попечитель
admirably	удивительно
admiral	адмирал
admiration	восхищение,преклонение
admire	восхититься,восхищаться,заглядеться,заглядываться,залюбоваться
admirer	кавалер,обожатель,обожательница,поклонник,поклонница
admiring	восхищённый
admissibility	приемлемость
admissible	допустимый,приемлемый
admission	впуск,впускной,доступ,подвод,приём
admit	впускать,впустить,допускать,допустить,признавать
admittance	впуск,допуск,доступ
admix	примешать,примешивать
admixture	примесь
admonish	увещевать
admonishment	предупреждающий
admonition	наставление
adobe	саман
adolescence	отрочество
adolescent	отрок,отроческий
adonis	красавец
adopt	заимствовать,перенимать,перенять,позаимствовать,применять
adopted	названый,принятый,приёмный,усыновлённый
adoption	заимствование,принятие,проведение,усвоение,усыновление
adoptive	приёмный
adorable	приемлемый
adorably	прелестно
adoration	обожание
adore	молиться,обожать,помолиться
adorer	обожатель,обожательница
adorn	изукрасить,изукрашивать,красить,покрасить,приукрашивать
adorning	украшение
adornment	украшение
adrenal	надпочечник
adrenalin	адреналин
adroit	ловкий,проворный
adroitly	хитро
adroitness	ловкость
adsorb	адсорбировать
adsorption	адсорбция
adulate	льстить,польстить
adulator	льстец
adult	взрослый,совершеннолетний
adulterate	фальсифицировать
adulterated	нечистый
adulteration	фальсификация
adulterator	фальсификатор
adulterer	прелюбодей
adultery	адюльтер,прелюбодеяние
advance	аванс,выдвигать,выдвинуть,выставлять,двигать
advance-guard	авангард
advanced	передовой,продвинутый,развитый
advancement	выдвижение,продвижение,успеваемость
advancing	поступательный
advantage	выгода,выгодность,льгота,плюс,преимущество
advantageous	выгодный,выигрышный
advantageously	выгодно
advantageousness	выгодность
advantages	выгодность
advent	приход,пришествие
adventitious	придаточный
adventive	придаточный
adventure	авантюрный,похождение,приключение,приключенческий
adventurer	авантюрист
adventuress	авантюристка
adventurist	авантюристический
adventurous	авантюрный
adverb	наречие,обстоятельство
adverbial	адвербиальный,наречный,обстоятельственный
adversary	противник,противница,супостат
adversity	невзгода
advertise	разрекламировать,рекламировать
advertisement	объявление,публикация,реклама
advertiser	рекламодатель
advertising	реклама
advice	рекомендация,рекомендовать,совет
advisability	целесообразность
advisable	целесообразный
advise	консультировать,надоумить,порекомендовать,посоветовать,советовать
adviser	советник,советчик,советчица
advisory	консультативный
advocacy	проповедь
advocate	адвокат,поборник,поборница,пропагандировать,проповедник
adygei	адыгеец,адыгейка,адыгейский
adzhar	аджарец,аджарка
adzharian	аджарец,аджарка,аджарский
aegis	эгида
aerarium	аэрарий
aerate	газировать
aerated	газированный
aeration	аэрационный,аэрация,газировка
aerial	антенна,воздушный
aero-sleigh	аэросани
aerobes	аэроб
aerobic	аэробный
aerodrome	аэродром
aerodynamical	аэродинамический
aerodynamics	аэродинамика
aeroflot	Аэрофлот
aerolite	аэролит
aerolith	аэролит
aerologist	аэролог
aerology	аэрология
aeromechanics	аэромеханика
aerometer	аэрометр,воздухомер
aeronaut	аэронавт,воздухоплаватель
aeronautic	воздухоплавательный
aeronautics	аэронавтика,воздухоплавание
aeronavigation	аэронавигационный,аэронавигация
aerophotography	аэрофотография
aeroplane	аэроплан,самолёт
aerosol	аэрозоль,аэрозольный
aerospace	воздушно-космический
aerostat	аэростат
aerostatic	воздухоплавательный
aerostatics	аэростатика,воздухоплавание
aesculapius	Эскулап
aesthete	эстет
aesthetic	эстетический
aestheticism	эстетство
aesthetics	эстетика
aetiology	этиология
affability	доступность,приветливость
affable	доступный,приветливый
affair	стычка
affairs	делишки
affect	влиять,задевать,задеть,затрагивать,затронуть
affectation	аффектация,деланность,кривлянье,ломанье,манерность
affected	аффектированный,вычурный,деланный,жеманный,задетый
affectedly	притворно
affecting	трогательный,умилительный
affection	поражение,привязанность,теплота
affectionate	ласковый,любящий,нежный,привязчивый,тёплый
affectionately	ласково
affectionateness	ласковость
affidavit	показание
affinity	свойство,сродство
affirm	утвердить
affirmation	утверждение
affirmative	утвердительный
affirmatively	утвердительно
affix	аффикс
affliction	мытарство
afflictions	горесть
afflux	прилив
afford	потянуть
afforest	облесить
afforestation	лесонасаждение,облесение
affront	афронт
afghan	афганец,афганка,афганский
afoot	пешком
afore-cited	вышеприведённый
afore-mentioned	вышеупомянутый
afore-named	вышеназванный
aforesaid	вышеназванный,вышеозначенный,вышесказанный,вышеуказанный,вышеупомянутый
aforethought	преднамеренный
afresh	вновь,сначала,сызнова
africa	африка
african	африканец,африканка,африканский
afro-asian	афро-азиатский
after	вдогонку,вслед,кормовой,после,спустя
after-dinner	послеобеденный
after-effects	последствие
after-grass	отава
after-taste	осадок,привкус
afterglow	заря
aftermath	отава
afternoon	день
afterripening	дозаривание
afterwards	впоследствии,после,потом
afterword	послесловие
afyon	дурман
again	вновь,опять,опять-таки,перекладывать,снова
against	вопреки,против,противно
agamic	бесполый
agamous	безбрачный,бесполый
agamy	безбрачие
agaric	шампиньон
agate	агат,агатовый
agave	агава,столетник
age	век,возраст,лета,период,постареть
age-old	вековой,исконный,старинный
aged	древний,престарелый
agency	агентство,орган
agenda	повестка
agent	агент,доверенный,комиссионер
agents	агентура
agglomerate	агломерат
agglomeration	агломерат,агломерация
agglutinating	агглютинирующий
agglutination	агглютинация
agglutinative	агглютинативный
aggravate	обострить,обострять,отягчать,растравлять,усугубить
aggravated	обострённый
aggravation	обострение,усиление,усугубление
aggregate	агрегат,заполнитель,общий,совокупный
aggregation	агрегат
aggression	агрессия,нападение
aggressive	агрессивный,вызывающий,завоевательный,захватнический
aggressor	агрессор,захватчик,захватчица
aggrieve	удручать
agile	вёрткий,поворотливый,подвижной,проворный
agility	поворотливость,проворство
aging	старение
agio	ажио,лаж
agitate	агитировать,взбудораживать,взбудоражить,взволновать,волновать
agitated	взбаламученный,взбудораженный,взволнованный
agitation	беспокойство,возбуждение,волнение
aglets	аксельбант
agnail	заусенец,заусеница
agnostic	агностик,агностический
agnosticism	агностицизм
ago	назад
agonizing	мучительный,томительный
agonizingly	мучительно
agony	терзание
agrarian	аграрный
agree	договариваться,договориться,ладить,оговаривать,одобрить
agreeable	приятный,согласный,уютный
agreeably	приятно
agreed	договорный,условленный
agreement	договор,договорённость,контракт,согласование,соглашение
agrement	агреман
agricultural	агрокультурный,агрономический,земледельческий,сельскохозяйственный
agriculture	агрокультура,агрокультурный,земледелие
agriculturist	агроном
agrobiological	агробиологический
agrobiology	агробиология
agroindustrial	агропромышленный
agronomical	агрономический
agronomics	агрономия
agronomist	агроном
agronomy	агрономия
agrophysical	агрофизический
agrotechnical	агротехнический
agrotechnician	агротехник
agrotechnics	агротехника
aha	ага
ahead	впереди,вперёд,предстоящий
ahem	гм
aid	вспомоществование,выручка,помогать,помочь,помощь
aide	адъютант
aide-de-camp	адъютант
aids	спид
aiglets	аксельбант
aiguillettes	аксельбант
ailing	хворый
ailment	недуг,хворь
aim	гнуть,метить,наводить,наметить,направить
aimed	прицельный
aiming	прицельный
